title,body,created_at,updated_at,closed_at,state,labels,number,url,milestone,locked,assignee,assignees,commit_shas,contrib_complexity
Proxy Store should be able to send operations to the spring-rest,The proxy store struggles to send messages to the spring-rest api. This is because of the default headers that are sent with the request.,2021-01-28 12:32:32+00:00,2021-01-28 17:36:03+00:00,2021-01-28 17:36:03+00:00,closed,"[Label(name=""bug""), Label(name=""proxy-store""), Label(name=""rest-api"")]",2390,https://github.com/gchq/Gaffer/issues/2390,"Milestone(title=""v1.15.0"", number=107)",False,"NamedUser(login=""d47853"")","[NamedUser(login=""d47853"")]",[],
Spring rest api doesn't return helpful error messages when JSON is invalid,"When invalid json is provided, the Spring boot REST API just returns 400 without explanation. It should return the error much like the core-rest api does.",2021-01-28 12:30:50+00:00,2021-01-28 17:36:02+00:00,2021-01-28 17:36:02+00:00,closed,"[Label(name=""bug""), Label(name=""rest-api"")]",2389,https://github.com/gchq/Gaffer/issues/2389,"Milestone(title=""v1.15.0"", number=107)",False,"NamedUser(login=""d47853"")","[NamedUser(login=""d47853"")]",[],
Proxy Store should be able to target non /v2 endpoints,"The proxy store is designed to work against the core-rest project which statically sets the v2 rest api on /v2 or /latest. The spring-rest api though allows you to dynamically set the context path. The ProxyStore should be able to target these. For backwards compatibility, the default should still be /rest/v2 but should not force the context root to end with v2 as it does now.",2021-01-28 12:29:10+00:00,2021-01-28 17:36:02+00:00,2021-01-28 17:36:02+00:00,closed,"[Label(name=""enhancement""), Label(name=""proxy-store""), Label(name=""rest-api"")]",2388,https://github.com/gchq/Gaffer/issues/2388,"Milestone(title=""v1.15.0"", number=107)",False,"NamedUser(login=""d47853"")","[NamedUser(login=""d47853"")]",[],
Allow spring-rest to be used by multiple stores with standard libraries,"Trying to bundle in store dependencies manually can be challenging because of the custom exclude / include rules that exist on each of the stores. If the stores were just included by default, it would save time and complexity. 

We may encounter issues in future with this though as there may be clashing dependencies between the stores. For now though, it seems possible to include all the stores without issue.",2021-01-28 12:26:02+00:00,2021-01-28 17:36:02+00:00,2021-01-28 17:36:02+00:00,closed,"[Label(name=""enhancement""), Label(name=""question""), Label(name=""rest-api"")]",2387,https://github.com/gchq/Gaffer/issues/2387,"Milestone(title=""v1.15.0"", number=107)",False,"NamedUser(login=""d47853"")","[NamedUser(login=""d47853"")]",[],
Spring rest only returns results if Accept: application/json is set,"Spring Rest only returns results if the header Accept: application/json header is set. If using Accept */* for example, it fails with an Unacceptable error",2021-01-28 12:15:48+00:00,2021-01-28 17:36:02+00:00,2021-01-28 17:36:02+00:00,closed,"[Label(name=""bug""), Label(name=""rest-api"")]",2386,https://github.com/gchq/Gaffer/issues/2386,"Milestone(title=""v1.15.0"", number=107)",False,"NamedUser(login=""d47853"")","[NamedUser(login=""d47853"")]",[],
Dont merge,,2021-01-25 19:35:51+00:00,2021-01-26 13:51:36+00:00,2021-01-26 13:50:35+00:00,closed,[],2385,https://github.com/gchq/Gaffer/pull/2385,,False,,[],[],
Gh 2383 replace mock accumulo store,"This PR includes the changes to implement the visibility trait in the MapStore and therefore resolves #801 if merged. 
The gchq/gaffer-tools#865 issue has a dependency on this PR.
",2021-01-21 13:54:29+00:00,2021-01-28 16:24:53+00:00,2021-01-28 16:24:52+00:00,closed,[],2384,https://github.com/gchq/Gaffer/pull/2384,,False,,[],[],
Replace MockAccumuloStore with MapStore,"Replace usage of the deprecated MockAccumloStore in the Road Traffic and Federated Store examples with MapStore.
Related to #1840  ",2021-01-21 08:37:53+00:00,2021-02-03 10:42:52+00:00,2021-02-03 10:42:52+00:00,closed,[],2383,https://github.com/gchq/Gaffer/issues/2383,"Milestone(title=""v1.15.0"", number=107)",False,"NamedUser(login=""m29827"")","[NamedUser(login=""m29827"")]",['d4dc63efcb77b0f8fc6483386281b44cd047ef0a'],2.0
Gh 2380 re run release,"

# Related Issue

- Resolve #2380",2021-01-14 11:09:15+00:00,2021-02-02 11:11:38+00:00,2021-02-02 11:11:38+00:00,closed,[],2381,https://github.com/gchq/Gaffer/pull/2381,,False,,[],[],
Add action to rerun the last release,"If the Maven deploy command fails because of a network issue, it would be handy to have a way of re-running it. Simply re-running the Release workflow won't work because It also does things like create a tag (which can't be created twice). Therefore there should be a workflow that can be triggered by a member of the team to re-run the latest release.",2021-01-14 10:49:56+00:00,2021-02-02 11:11:38+00:00,2021-02-02 11:11:38+00:00,closed,"[Label(name=""automation""), Label(name=""enhancement"")]",2380,https://github.com/gchq/Gaffer/issues/2380,"Milestone(title=""v1.15.0"", number=107)",False,"NamedUser(login=""d47853"")","[NamedUser(login=""d47853"")]",['20f62708c6e55ce9d6e68840c8a67bcdbcdf6707'],2.0
gh-2378 updated references,"

# Related Issue

- Resolve #2378",2021-01-14 09:42:23+00:00,2021-01-14 09:50:10+00:00,2021-01-14 09:50:06+00:00,closed,[],2379,https://github.com/gchq/Gaffer/pull/2379,,False,,[],[],
reference to version.properties is out of date,In the CI script the reference to version.properties is in core-rest. It now lives in common-rest,2021-01-14 09:38:48+00:00,2021-01-14 09:50:05+00:00,2021-01-14 09:50:05+00:00,closed,"[Label(name=""automation""), Label(name=""bug"")]",2378,https://github.com/gchq/Gaffer/issues/2378,"Milestone(title=""v1.14.0"", number=102)",False,"NamedUser(login=""d47853"")","[NamedUser(login=""d47853"")]",['f988697584951d043fae5b1e2b9a11dbd07e144c'],1.0
FederatedStores cannot connect to other FederatedStores via a proxy,"Specifically, FederatedStores are unable to submit queries containing views. This is because a FederatedStore has no schema by default. Therefore when view validation is run against it, it fails even though the view may be perfectly valid.",2021-01-13 19:24:51+00:00,2021-01-14 09:02:35+00:00,2021-01-14 09:02:35+00:00,closed,"[Label(name=""bug""), Label(name=""federated-store"")]",2377,https://github.com/gchq/Gaffer/issues/2377,"Milestone(title=""v1.14.0"", number=102)",False,"NamedUser(login=""d47853"")","[NamedUser(login=""d47853""), NamedUser(login=""GCHQDev404"")]",[],
gh-2008 View validation experiment,,2021-01-13 18:23:43+00:00,2021-01-14 09:02:35+00:00,2021-01-14 09:02:35+00:00,closed,[],2376,https://github.com/gchq/Gaffer/pull/2376,,False,,[],[],
ProxyStore can't initialise if the remote store supports operations not on the classpath of the proxy,"If a remote graph supports operations that the proxy doesn't, the proxy should just ignore them rather than throwing an exception (as is the case currently)",2021-01-13 16:52:58+00:00,2021-03-31 13:30:20+00:00,2021-03-31 13:30:20+00:00,closed,"[Label(name=""enhancement""), Label(name=""proxy-store"")]",2375,https://github.com/gchq/Gaffer/issues/2375,"Milestone(title=""v1.16.0"", number=108)",False,"NamedUser(login=""m29827"")","[NamedUser(login=""m29827"")]","['ba5bfb336a5ca5761c7707a8e6944805fa6442ce', '47de39c619c409024bc9725a77d3ccc654d1a4cc', '632fbb5ce9489586c8bb63f8d96571373a85456a', '7ee819d8f7d2ff096e4326b0f3ffbfbf06c12221', 'e0fa39551a0d96168016152c0d411455bdbd284c', 'f26d74217d46644c994c861b161c1c4fa67725e4', '27acf6a7572344aa2c5d7f1252407883b29fd536']",2.0
Update jackson version,,2021-01-13 12:38:20+00:00,2021-01-13 13:11:46+00:00,2021-01-13 13:11:46+00:00,closed,[],2374,https://github.com/gchq/Gaffer/pull/2374,,False,,[],[],
Overhaul integration tests,,2021-01-12 15:17:11+00:00,2021-01-12 18:24:25+00:00,2021-01-12 18:24:15+00:00,closed,[],2373,https://github.com/gchq/Gaffer/pull/2373,,False,,[],[],
gh-1754 Filter the final list of Walks returned from GetWalks,…from GetWalks,2021-01-07 18:22:49+00:00,2021-03-30 17:56:32+00:00,2021-03-30 14:59:54+00:00,closed,[],2372,https://github.com/gchq/Gaffer/pull/2372,"Milestone(title=""v1.16.0"", number=108)",False,,[],[],
gh-2370 JcsCacheService is now reconfigurable ,,2021-01-05 15:18:30+00:00,2021-01-06 16:17:31+00:00,2021-01-06 16:17:31+00:00,closed,[],2371,https://github.com/gchq/Gaffer/pull/2371,,False,,[],[],
JcsCacheService AgeOff unit test failure,"The JCS Cache Service unit test to check AgeOff fail with the following output:
```
Error:  Tests run: 13, Failures: 1, Errors: 0, Skipped: 0, Time elapsed: 6.139 s <<< FAILURE! - in uk.gov.gchq.gaffer.cache.impl.JcsCacheServiceTest
Error:  uk.gov.gchq.gaffer.cache.impl.JcsCacheServiceTest.shouldAgeOffValues  Time elapsed: 3.01 s  <<< FAILURE!
org.opentest4j.AssertionFailedError: expected: <null> but was: <1>
	at uk.gov.gchq.gaffer.cache.impl.JcsCacheServiceTest.shouldAgeOffValues(JcsCacheServiceTest.java:219)
Error:  Failures: 
Error:    JcsCacheServiceTest.shouldAgeOffValues:219 expected: <null> but was: <1>
```
The tests configure the ageOff cache with an element MaxLife of 2 seconds and therefore elements should not be retrievable after that period.
",2021-01-05 14:54:01+00:00,2021-01-06 16:17:58+00:00,2021-01-06 16:17:58+00:00,closed,[],2370,https://github.com/gchq/Gaffer/issues/2370,"Milestone(title=""v1.14.0"", number=102)",False,"NamedUser(login=""m29827"")","[NamedUser(login=""m29827"")]",['3fba0053cfa73bd31c86aed030a496b2736dc1ac'],1.0
"Hadoop, Hbase, Spark, Kafka, Zookeeper Compatibility","Hello Team,
Is there any document for Hadoop, Hbase, Spark, Kafka, Zookeeper compatibility for Gaffer versions? Or which versions of the tools are supported by Gaffer?
Thank you.",2021-01-02 12:03:50+00:00,2021-01-05 12:23:11+00:00,2021-01-05 12:23:11+00:00,closed,"[Label(name=""question"")]",2368,https://github.com/gchq/Gaffer/issues/2368,,False,,[],[],
Gh 801 map store implement visibility trait,,2020-12-17 18:11:49+00:00,2021-01-28 12:06:18+00:00,2021-01-28 12:06:18+00:00,closed,[],2366,https://github.com/gchq/Gaffer/pull/2366,,False,,[],[],
Gh 800 query aggregation for map store,,2020-12-15 12:33:43+00:00,2021-01-05 10:37:21+00:00,2021-01-05 10:37:20+00:00,closed,[],2365,https://github.com/gchq/Gaffer/pull/2365,,False,,[],[],
Change AssumeTrue typo to AssertTrue,"Why has AssumeTrue been used in OperationTest?
It is the last line in a test, there is then no further test to abort/skip if found false.
When found false the test does not fail, it just aborts.

If this is incorrect then the use of assumeTrue need to be reviewed in `OperationTest`, `JSONSerialisationTest` `HazelcastCacheServiceTest`",2020-12-14 14:33:21+00:00,2021-04-13 16:29:34+00:00,2021-04-13 16:29:34+00:00,closed,"[Label(name=""bug"")]",2364,https://github.com/gchq/Gaffer/issues/2364,"Milestone(title=""v1.17.0"", number=109)",False,"NamedUser(login=""t92549"")","[NamedUser(login=""t92549"")]",['eec0c3f1e9851e1310b7345b1fe97d812c497608'],1.0
Update jackson version,,2020-12-08 14:51:21+00:00,2020-12-08 16:05:35+00:00,2020-12-08 16:05:35+00:00,closed,[],2363,https://github.com/gchq/Gaffer/pull/2363,,False,,[],[],
Temporarily disabled intermittent test while fix is looked into,,2020-12-04 15:48:40+00:00,2020-12-11 09:45:18+00:00,2020-12-11 09:45:13+00:00,closed,[],2362,https://github.com/gchq/Gaffer/pull/2362,,False,,[],[],
Gh 802 map store count all elements chain optimiser,,2020-12-03 15:14:02+00:00,2020-12-07 14:39:29+00:00,2020-12-07 14:39:29+00:00,closed,[],2360,https://github.com/gchq/Gaffer/pull/2360,,False,,[],[],
Updated Koryphe version to 1.12.0,,2020-12-02 14:45:24+00:00,2020-12-07 13:30:36+00:00,2020-12-02 17:19:12+00:00,closed,[],2359,https://github.com/gchq/Gaffer/pull/2359,,False,,[],[],
Refactor,,2020-12-01 14:35:25+00:00,2021-01-26 13:52:06+00:00,2021-01-19 10:27:25+00:00,closed,[],2358,https://github.com/gchq/Gaffer/pull/2358,,False,,[],[],
gh-2340 FederatedPredicates to use Equals and hashcode Builders,"

# Related Issue

- Resolve #2340",2020-12-01 14:09:44+00:00,2021-01-26 13:52:19+00:00,2021-01-19 09:36:05+00:00,closed,[],2351,https://github.com/gchq/Gaffer/pull/2351,,False,,[],[],
Gh 2008 remove view validation,"

# Related Issue

- Resolve #2008",2020-12-01 14:02:57+00:00,2021-01-26 13:52:13+00:00,2021-01-14 09:09:21+00:00,closed,[],2350,https://github.com/gchq/Gaffer/pull/2350,,False,,[],[],
gh-2325 Improve flink integration tests,,2020-12-01 10:49:24+00:00,2020-12-01 12:18:07+00:00,2020-12-01 12:18:07+00:00,closed,[],2349,https://github.com/gchq/Gaffer/pull/2349,,False,,[],[],
Accumulo Store with Kerberos ,"Hi,

I have an Accumulo cluster (version: 1.7.2-cdh5.5.0) with kerberos enabled and I would like to know how I can configure Gaffer to use my Accumulo cluster as the underlying store. 

I have read the [doc](https://gchq.github.io/gaffer-doc/stores/accumulo-store.html) on Accumulo store and looked at the `TheBasics.java` from `gaffer-doc` repo (master branch). I didn't find any instructions on whether specific settings are required for kerberos. 

I downloaded the iterators.jar and distributed it to all my tservers. Then I modified `TheBasics.java` with my Accumulo properties
```java
        final AccumuloProperties properties = new AccumuloProperties();
        properties.setStoreClass(AccumuloStore.class);
        properties.setInstance(""<my_instance>"");
        properties.setZookeepers(""<my_zk1>:2181,<my_zk2>:2181,<my_zk3>:2181"");
        properties.setUser(""myuser@EXAMPLE.COM"");
        properties.setPassword(""<my_password>"");
```
And I get the following Exception
```
Exception in thread ""main"" java.lang.IllegalArgumentException: Could not initialise the store with provided arguments.
	at uk.gov.gchq.gaffer.store.Store.createStore(Store.java:262)
	at uk.gov.gchq.gaffer.graph.Graph$Builder.updateStore(Graph.java:1066)
	at uk.gov.gchq.gaffer.graph.Graph$Builder.build(Graph.java:953)
	at uk.gov.gchq.gaffer.doc.user.walkthrough.TheBasics.run(TheBasics.java:121)
	at uk.gov.gchq.gaffer.doc.user.walkthrough.TheBasics.main(TheBasics.java:161)
Caused by: uk.gov.gchq.gaffer.store.StoreException: Failed to create accumulo connection
	at uk.gov.gchq.gaffer.accumulostore.utils.TableUtils.getConnector(TableUtils.java:219)
	at uk.gov.gchq.gaffer.accumulostore.AccumuloStore.getConnection(AccumuloStore.java:205)
	at uk.gov.gchq.gaffer.accumulostore.utils.TableUtils.ensureTableExists(TableUtils.java:76)
	at uk.gov.gchq.gaffer.accumulostore.AccumuloStore.initialise(AccumuloStore.java:160)
	at uk.gov.gchq.gaffer.store.Store.createStore(Store.java:260)
	... 4 more
Caused by: org.apache.accumulo.core.client.AccumuloException: java.lang.RuntimeException: Cannot use SASL if Hadoop security is not enabled
	at org.apache.accumulo.core.client.impl.ServerClient.execute(ServerClient.java:70)
	at org.apache.accumulo.core.client.impl.ConnectorImpl.<init>(ConnectorImpl.java:73)
	at org.apache.accumulo.core.client.ZooKeeperInstance.getConnector(ZooKeeperInstance.java:308)
	at uk.gov.gchq.gaffer.accumulostore.utils.TableUtils.getConnector(TableUtils.java:217)
	... 8 more
Caused by: java.lang.RuntimeException: Cannot use SASL if Hadoop security is not enabled
	at org.apache.accumulo.core.rpc.SaslConnectionParams.updatePrincipalFromUgi(SaslConnectionParams.java:194)
	at org.apache.accumulo.core.rpc.SaslConnectionParams.<init>(SaslConnectionParams.java:140)
	at org.apache.accumulo.core.client.impl.ClientContext$3.get(ClientContext.java:117)
	at org.apache.accumulo.core.client.impl.ClientContext$3.get(ClientContext.java:109)
	at com.google.common.base.Suppliers$ExpiringMemoizingSupplier.get(Suppliers.java:185)
	at org.apache.accumulo.core.client.impl.ClientContext.getSaslParams(ClientContext.java:182)
	at org.apache.accumulo.core.client.impl.ThriftTransportKey.<init>(ThriftTransportKey.java:44)
	at org.apache.accumulo.core.client.impl.ServerClient.getConnection(ServerClient.java:144)
	at org.apache.accumulo.core.client.impl.ServerClient.getConnection(ServerClient.java:124)
	at org.apache.accumulo.core.client.impl.ServerClient.getConnection(ServerClient.java:119)
	at org.apache.accumulo.core.client.impl.ServerClient.executeRaw(ServerClient.java:100)
	at org.apache.accumulo.core.client.impl.ServerClient.execute(ServerClient.java:64)
	... 11 more

```
Any suggestions?

",2020-12-01 00:33:23+00:00,2020-12-03 16:54:55+00:00,2020-12-03 16:54:55+00:00,closed,[],2348,https://github.com/gchq/Gaffer/issues/2348,,False,,[],[],
Gh 2325 improve flink tests using end of elements indicator,"Sharing this approach for stabilising the flink unit-tests, not ideal as it relies on adding code to make the tests predictable.",2020-11-30 09:11:36+00:00,2020-12-01 11:30:29+00:00,2020-12-01 11:29:30+00:00,closed,[],2347,https://github.com/gchq/Gaffer/pull/2347,,False,,[],[],
Gh 2345 rest api test failure,,2020-11-27 18:22:55+00:00,2020-11-30 10:11:33+00:00,2020-11-30 10:11:33+00:00,closed,[],2346,https://github.com/gchq/Gaffer/pull/2346,,False,,[],[],
Rest API Test failing consistently,"The following integration test is intermittently failing on CI:
```
Error:  Failures: 
Error:    OperationServiceV1IT>OperationServiceIT.shouldReturnAllChunkedOperationElements:136->AbstractRestApiIT.verifyElements:85 expected: <3> but was: <0>
Error:    OperationServiceV1IT>OperationServiceIT.shouldReturnChunkedOperationChainElements:122->AbstractRestApiIT.verifyElements:85 expected: <3> but was: <0>
Error:    OperationServiceV1IT>OperationServiceIT.shouldReturnChunkedOperationChainGroupCounts:154 expected: <1> but was: <0>
Error:  Errors: 
Error:    OperationServiceV1IT>OperationServiceIT.shouldReturnGroupCounts:107->OperationServiceIT.verifyGroupCounts:226 » NullPointer
Error:  Tests run: 51, Failures: 3, Errors: 1, Skipped: 0
Error:  Failed to execute goal org.apache.maven.plugins:maven-failsafe-plugin:3.0.0-M5:verify (integration-test) on project core-rest: There are test failures.
```

It may be related to this error:
```
Error: Exception in thread ""Thread-73"" java.lang.IllegalStateException: Not inside a request scope.
	at jersey.repackaged.com.google.common.base.Preconditions.checkState(Preconditions.java:173)
	at org.glassfish.jersey.process.internal.RequestScope.current(RequestScope.java:233)
	at org.glassfish.jersey.process.internal.RequestScope.findOrCreate(RequestScope.java:158)
	at org.jvnet.hk2.internal.MethodInterceptorImpl.internalInvoke(MethodInterceptorImpl.java:89)
	at org.jvnet.hk2.internal.MethodInterceptorImpl.invoke(MethodInterceptorImpl.java:125)
	at org.jvnet.hk2.internal.MethodInterceptorInvocationHandler.invoke(MethodInterceptorInvocationHandler.java:62)
	at com.sun.proxy.$Proxy124.getHeaderString(Unknown Source)
	at uk.gov.gchq.gaffer.rest.service.v2.OperationServiceV2IT$TestUserFactory.createUser(OperationServiceV2IT.java:450)
	at uk.gov.gchq.gaffer.rest.factory.UserFactory.createContext(UserFactory.java:54)
	at uk.gov.gchq.gaffer.rest.service.v1.OperationService._execute(OperationService.java:152)
	at uk.gov.gchq.gaffer.rest.service.v1.OperationService.lambda$executeChunkedChain$0(OperationService.java:85)
	at java.lang.Thread.run(Thread.java:748)
```

You can see the full logs of this here: https://github.com/gchq/Gaffer/pull/2344/checks?check_run_id=1449014473",2020-11-27 10:28:34+00:00,2020-11-30 10:31:26+00:00,2020-11-30 10:11:33+00:00,closed,"[Label(name=""automation""), Label(name=""bug""), Label(name=""p:high"")]",2345,https://github.com/gchq/Gaffer/issues/2345,"Milestone(title=""v1.14.0"", number=102)",False,"NamedUser(login=""m29827"")","[NamedUser(login=""m29827"")]","['1820d7382c48fad7b704ab72c77201aa0d2490b7', 'ae1860a0efa9546f960483e225ddab087308e742', '3cb34dcf6319adb6ae1e0d0c029a90f8c9611277']",1.0
gh-2335 Adding github workflow to automate koryphe version update.,,2020-11-19 08:26:10+00:00,2020-12-01 12:51:12+00:00,2020-12-01 12:51:12+00:00,closed,[],2344,https://github.com/gchq/Gaffer/pull/2344,,False,,[],[],
bugfix for gh-2239:  Merging views with global elements,"Resolves #2293 

Only expand Global* elements in a View if the schema contains an entry with that element type in.  This supports stores such as the FederatedStore where the first Store a query gets run against is in some way a proxy of some other store(s) and doesn't have the schema information to do the expansion.

Also, update the logic in updateOperationChain such that it no longer expands  a View with no entities and edges but, e.g., a globalEntities element to include all of the edges.

When reviewing, please note that I've chosen to change updateOperationChain to default scope for testing purposes and because the code didn't feel like it was perfectly encapsulated by the logic of executing a query.  Alternatively, I could change the tests to run against the public execute method (which felt a bit broad) or use reflection to test the method as a private (but I'm not sure how you feel about that 'round these parts).  Lastly, where there's identical logic for Edges and Entities, I've only included a unit for the edges part, but let me know if you want a repeated unit test for the Entities logic",2020-11-17 10:04:32+00:00,2020-11-30 10:45:37+00:00,2020-11-30 10:45:37+00:00,closed,[],2343,https://github.com/gchq/Gaffer/pull/2343,,False,,[],[],
Gh 2334 automate releases,"I've added a workflow which operates pretty much as the old [deploy.sh](https://github.com/gchq/Gaffer/blob/gaffer2-1.13.4/cd/deploy.sh) script used to. The only difference being that it is triggered by the closing of a milestone, rather than a push to master and the jobs run in parallel.

I've tested the workflow in [another repo](https://github.com/d47853/actions-test).

# Related Issue

- Resolve #2334",2020-11-11 12:25:44+00:00,2020-11-16 10:41:48+00:00,2020-11-16 10:41:42+00:00,closed,[],2342,https://github.com/gchq/Gaffer/pull/2342,,False,,[],[],
"FederatedStore: FederatedGraphReadUserPredicate Refactor existing toString(), equals() and hashCode() methods to consistently use the Apache Commons Lang 3 style",see gh-864 ,2020-11-03 15:16:06+00:00,2021-01-19 09:36:05+00:00,2021-01-19 09:36:05+00:00,closed,[],2340,https://github.com/gchq/Gaffer/issues/2340,"Milestone(title=""v1.15.0"", number=107)",False,"NamedUser(login=""GCHQDev404"")","[NamedUser(login=""GCHQDev404"")]",['4a1f8516f1cdc07a42b1d40c6e38ac6e1e193313'],1.0
gh-2338 Federated Store test binary files wrong location.,"

# Related Issue

- Resolve #2338",2020-11-03 13:56:09+00:00,2020-11-03 15:42:14+00:00,2020-11-03 15:42:10+00:00,closed,[],2339,https://github.com/gchq/Gaffer/pull/2339,,False,,[],[],
FederatedStore Cache Binary files for test in wrong location.,Remove ./Gaffer/store-implementation/federated-store/gaffer-1.12.0-cache/,2020-11-03 13:39:47+00:00,2020-11-30 10:31:08+00:00,2020-11-03 15:42:10+00:00,closed,[],2338,https://github.com/gchq/Gaffer/issues/2338,"Milestone(title=""v1.14.0"", number=102)",False,,[],"['830b70c90866b40f0ca3fa915031eb54cb3a72d6', '3fe09439234300d0ca370e0670ea10b8b7affb5c']",1.0
link-PR-to-issue,,2020-10-27 15:00:39+00:00,2020-10-27 16:29:22+00:00,2020-10-27 16:29:22+00:00,closed,[],2337,https://github.com/gchq/Gaffer/pull/2337,,False,,[],[],
Gh 2302 create spring boot app,,2020-10-27 10:46:56+00:00,2020-10-30 09:14:56+00:00,2020-10-30 09:14:50+00:00,closed,[],2336,https://github.com/gchq/Gaffer/pull/2336,,False,,[],[],
Automatically update Koryphe version on new koryphe release,"Add an action which updates the koryphe version upon a new Koryphe release. It can use the ./cd/updateKorypheVersion.sh script if necessary.

This will save developer time.",2020-10-26 13:11:49+00:00,2020-12-01 12:51:34+00:00,2020-12-01 12:51:29+00:00,closed,"[Label(name=""automation"")]",2335,https://github.com/gchq/Gaffer/issues/2335,"Milestone(title=""v1.14.0"", number=102)",False,"NamedUser(login=""m29827"")","[NamedUser(login=""m29827"")]",['44b9f5a2e22160a3c9516b02a6ca0a218fac9cb1'],2.0
Automate releases,"Releasing Gaffer is a manual process of one of the Gaffer admins changing the RELEASE_VERSION variable on travis, merging develop -> master and then closing a milestone. The actual release is taken care of by Travis CI using the deploy.sh script.

It would be better to automate this process with Github actions. We could use the milestone closure as the trigger and use the version in that milestone to do the release.

It could either use the existing deploy.sh script with some tweaking or be split into different jobs. The latter might make for a more transparent release process and better release notes as there are already a few nice example actions we can make use of.

",2020-10-26 12:33:57+00:00,2020-11-30 10:31:08+00:00,2020-11-16 10:41:42+00:00,closed,"[Label(name=""automation"")]",2334,https://github.com/gchq/Gaffer/issues/2334,"Milestone(title=""v1.14.0"", number=102)",False,"NamedUser(login=""d47853"")","[NamedUser(login=""d47853"")]",['8f5c792623cfa36907be876315ece80e10d3d221'],2.0
Automatically link issues with pull requests,"When a pull request is opened, it should be automatically be linked with the issues it resolves to save us the job of manually closing the issue when merged. You could do this with Github actions.",2020-10-26 12:23:07+00:00,2020-10-27 16:45:37+00:00,2020-10-27 16:29:57+00:00,closed,"[Label(name=""automation"")]",2333,https://github.com/gchq/Gaffer/issues/2333,"Milestone(title=""v1.14.0"", number=102)",False,"NamedUser(login=""p3430233"")","[NamedUser(login=""p3430233"")]",[],
